date,tournament,round,surface,player,opponent,is_win,win_rate,matches
2025-11-16,Masters Cup,The Final,Hard,Alcaraz C.,Sinner J.,0,0.8536585365853658,41
2025-11-15,Masters Cup,Semifinals,Hard,Alcaraz C.,Auger-Aliassime F.,1,0.8536585365853658,41
2025-11-13,Masters Cup,Round Robin,Hard,Alcaraz C.,Musetti L.,1,0.8536585365853658,41
2025-11-11,Masters Cup,Round Robin,Hard,Alcaraz C.,Fritz T.,1,0.8536585365853658,41
2025-11-09,Masters Cup,Round Robin,Hard,Alcaraz C.,De Minaur A.,1,0.8536585365853658,41
2025-10-28,BNP Paribas Masters,2nd Round,Hard,Alcaraz C.,Norrie C.,0,0.8536585365853658,41
2025-09-30,Japan Open Tennis Championships,The Final,Hard,Alcaraz C.,Fritz T.,1,0.8536585365853658,41
2025-09-29,Japan Open Tennis Championships,Semifinals,Hard,Alcaraz C.,Ruud C.,1,0.8536585365853658,41
2025-09-28,Japan Open Tennis Championships,Quarterfinals,Hard,Alcaraz C.,Nakashima B.,1,0.8536585365853658,41
2025-09-27,Japan Open Tennis Championships,2nd Round,Hard,Alcaraz C.,Bergs Z.,1,0.8536585365853658,41
2025-09-25,Japan Open Tennis Championships,1st Round,Hard,Alcaraz C.,Baez S.,1,0.8536585365853658,41
2025-09-07,US Open,The Final,Hard,Alcaraz C.,Sinner J.,1,0.8536585365853658,41
2025-09-05,US Open,Semifinals,Hard,Alcaraz C.,Djokovic N.,1,0.8536585365853658,41
2025-09-02,US Open,Quarterfinals,Hard,Alcaraz C.,Lehecka J.,1,0.8536585365853658,41
2025-08-31,US Open,4th Round,Hard,Alcaraz C.,Rinderknech A.,1,0.8536585365853658,41
2025-08-29,US Open,3rd Round,Hard,Alcaraz C.,Darderi L.,1,0.8536585365853658,41
2025-08-28,US Open,2nd Round,Hard,Alcaraz C.,Bellucci M.,1,0.8536585365853658,41
2025-08-26,US Open,1st Round,Hard,Alcaraz C.,Opelka R.,1,0.8536585365853658,41
2025-08-16,Western & Southern Financial Group Masters,Semifinals,Hard,Alcaraz C.,Zverev A.,1,0.8536585365853658,41
2025-08-15,Western & Southern Financial Group Masters,Quarterfinals,Hard,Alcaraz C.,Rublev A.,1,0.8536585365853658,41
2025-08-14,Western & Southern Financial Group Masters,4th Round,Hard,Alcaraz C.,Nardi L.,1,0.8536585365853658,41
2025-08-12,Western & Southern Financial Group Masters,3rd Round,Hard,Alcaraz C.,Medjedovic H.,1,0.8536585365853658,41
2025-08-10,Western & Southern Financial Group Masters,2nd Round,Hard,Alcaraz C.,Dzumhur D.,1,0.8536585365853658,41
2025-03-22,Miami Open,2nd Round,Hard,Alcaraz C.,Goffin D.,0,0.8536585365853658,41
2025-03-15,BNP Paribas Open,Semifinals,Hard,Alcaraz C.,Draper J.,0,0.8536585365853658,41
